DATE;OPEN;HIGH;LOW;CLOSE
Jan-12;15454.62;16,183.96;14,401.55;15828.05
Feb-12;16264.55;16,724.22;16,169.92;16351.41
Mar-12;16830.60;17,133.42;15,782.36;15980.07
Apr-12;15978.34;16,014.39;13,828.63;14592.34
May-12;14768.61;14,820.40;12,764.68;12873.84
Jun-12;12919.19;14,274.37;12,568.05;14274.37
Jul-12;14275.74;14,516.49;12,295.76;13890.99
Aug-12;13848.81;15,358.98;13,204.91;15100.48
Sept-12;15068.45;16,694.79;15,021.56;15095.84
Oct-12;15066.20;16,280.95;126.50;15539.71
Nov-12;15484.51;15,939.99;136.64;15808.24
Dec-12;15870.07;16,503.08;15,104.13;16273.38
Jan-13;16596.91;17,983.63;150.67;17439.06
Feb-13;17410.46;17,558.21;15,466.43;15921.25
Mar-13;15858.14;16,258.50;15,197.06;15338.72
Apr-13;15307.85;17,033.45;15,061.59;16767.66
May-13;16687.37;17,644.73;16,447.72;17214.08
Jun-13;17097.41;17,289.63;14,901.46;15239.28
Jul-13;15359.11;16,561.95;15,023.60;16482.35
Aug-13;16563.31;17,689.88;16,503.98;16682.21
Sept-13;16807.18;18,142.98;16,577.87;17434.86
Oct-13;17481.03;19,501.18;17,474.96;19351.52
Nov-13;19349.21;19,482.80;18,491.77;19021.48
Dec-13;19010.73;19,054.59;17,748.63;18967.71
Jan-14;19080.37;20,174.84;18,885.93;19418.34
Feb-14;19411.54;20,584.47;18,788.60;20442.41
Mar-14;19983.38;21,729.74;19,759.69;21691.92
Apr-14;21738.96;22,210.34;20,817.49;21783.38
May-14;21829.47;21,945.73;19,932.81;21629.71
Jun-14;21750.27;22,590.18;21,130.22;21283.03
Jul-14;21345.44;21,896.15;20,283.38;20570.80
Aug-14;20547.94;20,777.06;18,885.58;20450.49
Sept-14;20515.46;21,481.89;20,245.54;20892.11
Oct-14;20801.75;20,940.27;17,555.77;19783.99
Nov-14;19760.84;20,195.00;18,444.58;20014.82
Dec-14;19858.68;20,142.18;17,729.07;19011.96
Jan-15;19156.72;20,802.73;17,991.76;20503.38
Feb-15;20596.35;22,338.82;20,246.54;22337.79
Mar-15;22381.46;23,381.86;21,860.52;23157.12
Apr-15;23092.49;24,081.74;22,725.83;23045.52
May-15;23082.15;23,879.84;22,296.58;23495.68
Jun-15;23582.62;23,849.64;21,855.05;22460.71
Jul-15;22623.40;24,157.39;20,937.34;23538.03
Aug-15;23553.15;23,992.48;20,158.22;21941.92
Sept-15;21734.67;22,448.77;20,476.48;21294.98
Oct-15;21502.67;22,874.96;21,052.48;22442.51
Nov-15;22341.59;22,773.09;21,572.63;22717.98
Dec-15;22795.45;22,844.38;20,506.56;21418.37
Jan-16;21186.13;21,194.17;17,836.03;18657.29
Feb-16;18689.45;18,792.14;15,773.00;17623.07
Mar-16;17557.23;19,216.53;17,533.75;18116.88
Apr-16;17854.70;19,062.81;16,777.87;18600.56
May-16;18689.47;18,689.47;17,247.62;18025.25
Jun-16;18050.36;18,055.64;15,017.42;16197.78
Jul-16;16384.72;16,996.21;15,293.10;16846.86
Aug-16;16971.27;17,122.82;15,978.08;16943.38
Sept-16;16989.99;17,397.53;15,922.35;16401.00
Oct-16;16368.40;17,426.49;16,133.96;17125.05
Nov-16;17216.77;17,256.67;16,039.59;16930.41
Dec-16;16904.18;19,419.01;16,723.18;19234.58
Jan-17;19207.77;19,810.77;18,523.66;18590.73
Feb-17;18731.89;19,359.56;18,424.31;18913.28
Mar-17;19067.87;20,495.62;19,028.49;20492.94
Apr-17;20510.37;20,883.66;19,442.71;20609.16
May-17;20697.77;21,828.77;20,572.22;20731.68
Jun-17;20781.43;21,271.49;20,537.35;20584.23
Jul-17;20710.89;21,690.61;20,703.95;21486.91
Aug-17;21543.10;22,065.42;21,329.21;21670.02
Sept-17;21743.06;22,696.32;21,581.89;22696.32
Oct-17;22714.12;22,899.36;22,021.02;22793.69
Nov-17;22909.89;23,133.42;21,932.57;22368.29
Dec-17;22396.59;22,838.32;21,833.80;21853.34
Jan-18;21898.69;24,050.15;21,613.89;23507.06
Feb-18;23639.28;23,809.51;21,907.71;22607.61
Mar-18;22527.12;22,938.06;21,460.46;22411.15
Apr-18;22288.50;24,073.69;22,205.68;23979.37
May-18;24014.71;24,544.26;21,122.51;21784.18
Jun-18;22251.33;22,516.62;21,157.47;21626.27
Jul-18;21411.00;22,243.62;21,168.66;22215.69
Aug-18;22224.31;22,224.46;20,236.27;20269.47
Sept-18;20269.06;21,680.00;20,253.27;20711.70
Oct-18;20602.28;21,078.01;18,411.43;19050.22
Nov-18;19014.88;19,623.64;18,453.86;19188.97
Dec-18;19589.95;19,674.86;17,914.03;18324.03
Jan-19;18191.76;19,904.79;17,959.39;19730.78
Feb-19;19752.12;20,683.05;19,267.89;20659.46
Mar-19;20798.07;21,483.53;20,385.86;21286.13
Apr-19;21404.00;22,052.83;21,348.90;21881.33
May-19;21834.44;21,914.77;19,535.50;19802.11
Jun-19;19679.84;21,511.39;19,593.70;21234.79
Jul-19;21463.79;22,357.39;21,235.08;21398.19
Aug-19;21307.36;21,605.79;19,936.13;21322.90
Sept-19;21390.48;22,282.94;21,311.18;22107.70
Oct-19;22184.75;22,783.36;21,127.43;22693.77
Nov-19;22734.64;23,827.58;22,721.16;23259.33
Dec-19;23297.68;24,003.64;22,581.12;23506.37
Jan-20;23606.97;24,197.66;23,207.90;23237.03
Feb-20;23297.09;25,483.05;21,697.94;21984.21
Mar-20;22333.17;22,361.13;14,153.09;17050.94
Apr-20;16600.06;18,302.85;16,384.35;17690.49
May-20;17156.75;18,414.02;16,551.28;18197.56
Jun-20;18437.40;20,399.38;18,236.52;19375.52
Jul-20;19452.48;21,133.43;19,013.37;19091.93
Aug-20;19136.52;20,471.63;18,948.81;19633.69
Sept-20;19776.36;20,140.84;18,545.92;19015.27
Oct-20;19176.56;19,764.74;17,636.38;17943.11
Nov-20;17967.70;22,387.26;17,806.44;22060.98
Dec-20;22193.10;22,395.11;21,087.10;22232.90
Jan-21;22398.06;23,003.56;21,311.51;21572.53
Feb-21;21737.03;23,652.45;21,618.50;22848.58
Mar-21;23123.23;24,777.97;22,795.55;24648.56
Apr-21;24730.95;24,939.00;23,916.97;24141.16
May-21;24196.26;25,278.91;23,898.05;25170.55
Jun-21;25272.66;25,926.66;24,903.25;25102.04
Jul-21;25256.77;25,540.91;23,817.66;25363.02
Aug-21;25535.52;26,687.97;25,275.77;26009.29
Sept-21;26186.00;26,397.76;24,941.19;25683.81
Oct-21;25305.64;27,049.32;25,276.17;26875.96
Nov-21;27020.30;27,968.91;25,517.71;25814.34
Dec-21;26039.43;27,496.55;25,783.03;27346.83
Jan-22;27408.89;28,212.68;25,784.68;26814.05
Feb-22;27023.82;27,549.62;24,507.08;25415.89
Mar-22;25399.77;25,630.01;24,363.56;24363.56